config,mean_val_excess,max_val_excess,hypo
H3_K12,-6.501915442523885,0.33123532363445296,H3
H7_stress1.0,-6.041740832657537,0.07287253812930188,H7
H5_greeks_only,-5.817767551001203,-0.0010523189604636123,H5
H5_surface_only,-5.235757320541478,2.2534052733275822,H5
H3_K16,-4.8175877381623105,0.2115593750989639,H3
H7_stress3.0,-4.126848889864916,0.5662484862531114,H7
H7_stress2.0,-3.6443711501984994,0.10851311494345744,H7
C_as1.0_vf0.25_rl20.0_cw3.0,-2.492669748530803,-0.01701360865142312,combo
H1_as1.5_vf0.25,-1.6549481497339782,-0.013031123101414119,H1
C_as0.5_vf0.25_rl20.0_cw3.0,-1.5883109163589129,-0.015657260569543745,combo
H6_ensemble,-1.420007358680595,-0.016384456233748127,H6
C_as0.5_vf0.25_rl20.0_cw1.0,-1.3287276830797772,-0.01698402087280925,combo
H1_as0.5_vf0.25,-1.3287276830797772,-0.01698402087280925,H1
H1_as1.0_vf0.25,-1.2714667643626674,-0.010714133605079175,H1
C_as1.0_vf0.25_rl20.0_cw1.0,-1.2714667643626674,-0.010714133605079175,combo
C_as1.0_vf0.25_rl210.0_cw3.0,-1.2346159135582133,-0.015543689493917372,combo
C_as0.5_vf0.25_rl210.0_cw3.0,-1.21266629805417,-0.015503104250092832,combo
H4_rl21000.0,-1.1852966799237155,0.0016589594045419709,H4
H1_as1.5_vf0.1,-1.1582348590425764,-0.012854713653379722,H1
C_as1.0_vf0.25_rl2100.0_cw3.0,-1.1007509958652983,-0.005429586863984907,combo
H1_as1.0_vf0.1,-1.0572655392672377,-0.010879151819971317,H1
H1_as0.5_vf0.1,-1.0491131707704437,-0.01676852070793129,H1
C_as0.5_vf0.25_rl2100.0_cw3.0,-1.039551705899513,-0.005937206173062228,combo
C_as1.0_vf0.25_rl210.0_cw1.0,-0.9749047070696034,-0.011251744392939342,combo
C_as0.5_vf0.25_rl210.0_cw1.0,-0.9286392674192707,-0.011376627315400178,combo
C_as0.5_vfNone_rl2100.0_cw3.0,-0.8354681257532243,-0.003123867314800017,combo
H1_as1.5_vf0.5,-0.8279101647268151,-0.003027574095466381,H1
H1_as0.5_vf0.5,-0.8178514225313807,-0.00879305288322007,H1
H1_as1.0_vf0.5,-0.8119742657387716,-0.010154992410172493,H1
C_as1.0_vfNone_rl2100.0_cw3.0,-0.7107561430583388,-0.004469001037975137,combo
C_as0.5_vfNone_rl20.0_cw3.0,-0.6615460008076253,-0.008372161961501545,combo
C_as0.5_vf0.25_rl2100.0_cw1.0,-0.6363744320035271,-0.0027649866812893974,combo
C_as1.0_vf0.25_rl2100.0_cw1.0,-0.5442026716166801,-0.002849719341209646,combo
C_as0.5_vfNone_rl2100.0_cw1.0,-0.3848562615249426,-0.0021701749825962244,combo
C_as0.5_vfNone_rl210.0_cw3.0,-0.37234515386000167,-0.006442109887144114,combo
H2_cw3.0_a0.975,-0.34630222779328707,0.05239079794566237,H2
H2_cw3.0_a0.99,-0.3315536045417227,0.028165942558556818,H2
H2_cw10.0_a0.975,-0.3119295612640872,-0.002731369304487197,H2
H2_cw3.0_a0.95,-0.290834914229663,0.13114971552501942,H2
H2_cw10.0_a0.95,-0.2751171653516548,0.2816590890983619,H2
H2_cw10.0_a0.99,-0.26063636882291197,0.0005996474213531651,H2
H2_cw1.0_a0.99,-0.22739672456045695,0.3308024366293765,H2
H2_cw1.0_a0.975,-0.21146818608380966,0.32404607055240575,H2
C_as0.5_vfNone_rl20.0_cw1.0,-0.1764660671586475,0.2850069448889414,combo
H1_as0.5_vfNone,-0.1764660671586475,0.2850069448889414,H1
C_as1.0_vfNone_rl2100.0_cw1.0,-0.15935838432840743,0.11022357474606537,combo
C_as1.0_vfNone_rl20.0_cw3.0,-0.15610475096133003,0.770746751670778,combo
C_as0.5_vfNone_rl210.0_cw1.0,-0.15160237579585517,0.11618571338294004,combo
C_as1.0_vfNone_rl210.0_cw3.0,-0.037072216228232424,0.6602531612347846,combo
C_as1.0_vfNone_rl210.0_cw1.0,-0.005798034242094741,1.170383949125231,combo
H1_l20.1,0.120259651477432,1.0756345394163702,H1
H1_l20.03,0.12295893121467122,1.0767264716763023,H1
H1_l20.01,0.1266336179789148,1.077035095329144,H1
H1_as1.5_vfNone,0.13265268167182703,1.0771734906228048,H1
baseline,0.13265268167182703,1.0771734906228048,baseline
H4_rl2100.0,0.18889516046578061,1.2866623343527053,H4
H4_rl21.0,0.30862119552550626,1.5848939388185457,H4
C_as1.0_vfNone_rl20.0_cw1.0,0.34562862001687694,2.0747688065253485,combo
H1_as1.0_vfNone,0.34562862001687694,2.0747688065253485,H1
H3_K6,0.6591184604648214,2.874366838039215,H3
H4_rl210.0,0.9926156144221232,5.5208341406607175,H4
