config,hypo,mean_val_rel_excess,max_val_rel_excess,mean_test_rel_excess,max_test_rel_excess,test_tie_count
C_as1.0_vf0.25_rl20.0_cw3.0,combo,-0.8890293561592638,-0.1657315783044585,0.009324452109997688,0.33611946918942537,2
H5_greeks_only,H5,-0.4578151029721101,-0.16033381502146696,0.1028983419608385,0.3193917753705546,2
H1_as1.5_vf0.25,H1,-0.6829493303281505,-0.10085462286339165,0.060633476750127174,0.3682466369370331,2
C_as0.5_vf0.25_rl20.0_cw3.0,combo,-0.79728530359577,-0.09070182214730953,0.018960179589863742,0.38905939186642363,2
H6_ensemble,H6,-0.8209123928370065,-0.07560822586062238,-0.0370448409047901,0.20580646626827698,2
C_as0.5_vf0.25_rl20.0_cw1.0,combo,-0.8153535835250328,-0.07522254136936259,0.002798789910131376,0.34365995481972733,2
H1_as0.5_vf0.25,H1,-0.8153535835250328,-0.07522254136936259,0.002798789910131376,0.34365995481972733,2
C_as1.0_vf0.25_rl210.0_cw3.0,combo,-0.7407777251173027,-0.07205884679312642,0.016625291946510294,0.3301540213907864,3
C_as0.5_vf0.25_rl210.0_cw3.0,combo,-0.7365162165159543,-0.07097126761329133,-0.020499925109711988,0.29512065951532745,3
C_as1.0_vf0.25_rl20.0_cw1.0,combo,-0.5838978860898457,-0.06739231011806998,0.008766403753411672,0.2980633005226271,2
H1_as1.0_vf0.25,H1,-0.5838978860898457,-0.06739231011806998,0.008766403753411672,0.2980633005226271,2
H1_as1.5_vf0.1,H1,-0.65525828359301,-0.05976137010496548,0.05937883517769158,0.33323394128714895,2
C_as0.5_vf0.25_rl2100.0_cw3.0,combo,-0.3673384344767932,-0.053842811955391326,-0.057216587800101484,0.08963010277350204,3
H1_as1.0_vf0.1,H1,-0.5785004160743084,-0.05064778019388761,0.012259520835879056,0.27941711473439795,2
C_as1.0_vf0.25_rl2100.0_cw3.0,combo,-0.3748028780187073,-0.050551696668884746,-0.0577115594070701,0.11592232331050711,3
H1_as0.5_vf0.1,H1,-0.8013324210113155,-0.05036000850628497,-0.0037913477434249887,0.30164916943994274,2
C_as0.5_vf0.25_rl210.0_cw1.0,combo,-0.5591442675717625,-0.05019463537781709,-0.018351369076666648,0.3052536725013147,3
C_as1.0_vf0.25_rl210.0_cw1.0,combo,-0.5855945233297197,-0.04352739977138953,-0.01481160527268393,0.3061183143425744,3
C_as0.5_vf0.25_rl2100.0_cw1.0,combo,-0.16737231492537924,-0.04201325728042825,-0.055158836893450636,0.05576680054421059,3
H1_as1.5_vf0.5,H1,-0.24865741895840607,-0.038354992693138794,0.03579477732252025,0.29230601152415453,2
H1_as0.5_vf0.5,H1,-0.47272631060808673,-0.035843010744593444,-0.018314560494045007,0.2476055546854653,2
H1_as1.0_vf0.5,H1,-0.5267477169715491,-0.034448969161625494,0.04821253564273227,0.2514310851628432,2
C_as1.0_vf0.25_rl2100.0_cw1.0,combo,-0.16726868885855078,-0.03429660644922162,-0.050733594567881145,0.05813018930920453,3
C_as0.5_vfNone_rl20.0_cw3.0,combo,-0.4623525720956015,-0.020831551206536007,0.0556688558359556,0.2602201628673737,2
C_as0.5_vfNone_rl2100.0_cw3.0,combo,-0.29952585227951595,-0.020141038104321867,-0.052970403129315634,0.14472421935177712,3
C_as0.5_vfNone_rl2100.0_cw1.0,combo,-0.13923288442680662,-0.019372200820320117,-0.07367875544387016,0.03815107971374887,4
C_as0.5_vfNone_rl210.0_cw3.0,combo,-0.30472767128324335,-0.017657380118600314,0.01849566369480811,0.24045570146653025,3
C_as1.0_vfNone_rl2100.0_cw3.0,combo,-0.3577678678094699,-0.005398691521798468,-0.03027028847461728,0.14621893693349947,3
H2_cw10.0_a0.975,H2,-0.20535169976276438,-0.00016603340434532667,-0.05377789416256181,0.1453579410358198,3
H4_rl21000.0,H4,-0.13549449174137018,0.0004528504638352946,-0.03290323024233695,0.004794356344583329,4
H2_cw3.0_a0.975,H2,-0.1770719514292811,0.001175430431282205,-0.013198993902129134,0.2659157739564893,3
C_as1.0_vfNone_rl2100.0_cw1.0,combo,-0.18745988422565063,0.002472956112170855,-0.07086936379716272,0.030644150809786812,4
C_as0.5_vfNone_rl210.0_cw1.0,combo,-0.25091394426871283,0.002606721572215469,-0.015498081519235325,0.2680933232266355,3
H2_cw10.0_a0.95,H2,-0.2646150952783665,0.006319252188462831,-0.046234039800891365,0.14656870010497183,3
C_as0.5_vfNone_rl20.0_cw1.0,combo,-0.11030125674246472,0.006394364073184894,0.09704850923140307,0.39174179999232034,2
H1_as0.5_vfNone,H1,-0.11030125674246472,0.006394364073184894,0.09704850923140307,0.39174179999232034,2
C_as1.0_vfNone_rl210.0_cw3.0,combo,-0.27290164515441806,0.014813320058048434,0.04253345368691327,0.21712118780061812,2
C_as1.0_vfNone_rl20.0_cw3.0,combo,-0.23423687744321722,0.0172923341932178,0.13639772682496568,0.2444396201316509,0
C_as1.0_vfNone_rl210.0_cw1.0,combo,-0.29291451341292374,0.02625852180210861,0.04822130433390357,0.3535344866449375,2
H4_rl2100.0,H4,-0.21912624683848858,0.02886732254300369,-0.052391899741883526,0.040955274522909355,4
H4_rl21.0,H4,-0.4284943036193564,0.03555839267754991,0.007757524317538268,0.308186240105612,2
H2_cw10.0_a0.99,H2,-0.05403683908030108,0.09136370468034843,0.04493249124361009,0.26123231780265754,2
H4_rl210.0,H4,-0.35882700354498104,0.1238644324853547,0.010409002611604205,0.17950498594365252,2
H2_cw3.0_a0.95,H2,0.10024722224676974,0.8252783360936091,0.01088438830903854,0.2483782759658931,2
C_as1.0_vfNone_rl20.0_cw1.0,combo,0.2446871228006736,1.1676968009473072,0.19620134265472716,0.376987069536463,0
H1_as1.0_vfNone,H1,0.2446871228006736,1.1676968009473072,0.19620134265472716,0.376987069536463,0
H2_cw1.0_a0.975,H2,0.20651375043597034,1.206952881143984,0.04951910317992306,0.3044232110584712,2
H1_l20.03,H1,0.42645611374412623,1.8822893258754507,0.039939048935902,0.41453686032287923,2
H1_l20.1,H1,0.4470888836108474,1.9682076385599783,0.04603463995357787,0.42381688354603436,2
H1_l20.01,H1,0.529988131291753,2.292571791307124,0.04421358045969666,0.42661891042121663,2
H1_as1.5_vfNone,H1,0.5890661446279083,2.5215141531958336,0.04490355682214399,0.42755512053449696,2
baseline,baseline,0.5890661446279083,2.5215141531958336,0.04490355682214399,0.42755512053449696,2
H2_cw3.0_a0.99,H2,0.9791314966719468,4.2914298741699035,0.053630306265083215,0.4567785072521534,2
H2_cw1.0_a0.99,H2,1.7946874755374183,7.594589369374406,0.1483396323144539,0.508389294222549,2
H7_stress1.0,H7,2.553022414327551,11.103032908787378,0.11011416587731437,0.5071280021825743,2
H3_K12,H3,3.264929661216796,13.847511634035268,0.12899777828176176,0.3622740940639311,1
H5_surface_only,H5,3.589115347883981,14.324566864579703,-0.009286744314407968,0.13019458335857714,3
H7_stress2.0,H7,3.937737688476173,16.533315802922186,0.08232184954672347,0.2811026621540261,2
H3_K6,H3,7.42620034370936,29.821619160362392,0.03683399186272493,0.4200015031201114,2
H3_K16,H3,7.878887703201532,32.23368863203879,0.5635930630076704,1.364238470691936,1
H7_stress3.0,H7,17.510386049029876,70.42727653427258,0.6216775928062106,2.118008873064776,1
