config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
baseline,baseline,slv,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.023112754551825234,0.006563300201661867,0.01654945435016337,0.16903974387658285,0.15494845435326088,0.014091289523321976,0.023009230740630025
H1_as0.5_vfNone,H1,slv,0.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.005741425221791558,0.006563300201661867,-0.0008218749798703092,0.17211408355892188,0.15494845435326088,0.017165629205661004,0.022188959099157003
H1_as0.5_vf0.5,H1,slv,0.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,-0.0022297526815582033,0.006563300201661867,-0.00879305288322007,0.16305699000496154,0.15494845435326088,0.008108535651700666,0.004145736317590393
H1_as0.5_vf0.25,H1,slv,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.010420720671147382,0.006563300201661867,-0.01698402087280925,0.16695094256012247,0.15494845435326088,0.012002488206861589,0.008646396580632779
H1_as0.5_vf0.1,H1,slv,0.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.010205220506269421,0.006563300201661867,-0.01676852070793129,0.166853491661486,0.15494845435326088,0.01190503730822512,0.009043176651041297
H1_as1.0_vfNone,H1,slv,1.0,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.014227244850799242,0.006563300201661867,0.007663944649137375,0.16425805361983456,0.15494845435326088,0.009309599266573682,0.014532312336705155
H1_as1.0_vf0.5,H1,slv,1.0,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,-0.003591692208510626,0.006563300201661867,-0.010154992410172493,0.17822897696316486,0.15494845435326088,0.023280522609903986,0.003616183691391936
H1_as1.0_vf0.25,H1,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.004150833403417309,0.006563300201661867,-0.010714133605079175,0.16958541023153026,0.15494845435326088,0.014636955878269381,0.0076740308393334865
H1_as1.0_vf0.1,H1,slv,1.0,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.004315851618309449,0.006563300201661867,-0.010879151819971317,0.17062463204085265,0.15494845435326088,0.015676177687591775,0.004758590957263962
H1_as1.5_vfNone,H1,slv,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.023112754551825234,0.006563300201661867,0.01654945435016337,0.16903974387658285,0.15494845435326088,0.014091289523321976,0.023009230740630025
