config,mean_val_excess,max_val_excess,hypo
C_as1.0_vf0.25_rl20.0_cw3.0,-0.01701360865142312,-0.01701360865142312,combo
C_as0.5_vf0.25_rl20.0_cw1.0,-0.01698402087280925,-0.01698402087280925,combo
H1_as0.5_vf0.25,-0.01698402087280925,-0.01698402087280925,H1
H1_as0.5_vf0.1,-0.01676852070793129,-0.01676852070793129,H1
H6_ensemble,-0.016384456233748127,-0.016384456233748127,H6
C_as0.5_vf0.25_rl20.0_cw3.0,-0.015657260569543745,-0.015657260569543745,combo
C_as1.0_vf0.25_rl210.0_cw3.0,-0.015543689493917372,-0.015543689493917372,combo
C_as0.5_vf0.25_rl210.0_cw3.0,-0.015503104250092832,-0.015503104250092832,combo
H1_as1.5_vf0.25,-0.013031123101414119,-0.013031123101414119,H1
H1_as1.5_vf0.1,-0.012854713653379722,-0.012854713653379722,H1
C_as0.5_vf0.25_rl210.0_cw1.0,-0.011376627315400178,-0.011376627315400178,combo
C_as1.0_vf0.25_rl210.0_cw1.0,-0.011251744392939342,-0.011251744392939342,combo
H1_as1.0_vf0.1,-0.010879151819971317,-0.010879151819971317,H1
H4_rl21.0,-0.010724521135172013,-0.010724521135172013,H4
H1_as1.0_vf0.25,-0.010714133605079175,-0.010714133605079175,H1
C_as1.0_vf0.25_rl20.0_cw1.0,-0.010714133605079175,-0.010714133605079175,combo
H1_as1.0_vf0.5,-0.010154992410172493,-0.010154992410172493,H1
H1_as0.5_vf0.5,-0.00879305288322007,-0.00879305288322007,H1
C_as0.5_vfNone_rl20.0_cw3.0,-0.008372161961501545,-0.008372161961501545,combo
H4_rl210.0,-0.00723525041988708,-0.00723525041988708,H4
C_as0.5_vfNone_rl210.0_cw3.0,-0.006442109887144114,-0.006442109887144114,combo
C_as0.5_vf0.25_rl2100.0_cw3.0,-0.005937206173062228,-0.005937206173062228,combo
C_as1.0_vfNone_rl210.0_cw3.0,-0.0056225883327556255,-0.0056225883327556255,combo
C_as1.0_vfNone_rl210.0_cw1.0,-0.005556029302251021,-0.005556029302251021,combo
C_as1.0_vf0.25_rl2100.0_cw3.0,-0.005429586863984907,-0.005429586863984907,combo
C_as0.5_vfNone_rl210.0_cw1.0,-0.00513198100802485,-0.00513198100802485,combo
H4_rl2100.0,-0.004848182601922764,-0.004848182601922764,H4
C_as1.0_vfNone_rl2100.0_cw3.0,-0.004469001037975137,-0.004469001037975137,combo
H2_cw10.0_a0.95,-0.004024954974460917,-0.004024954974460917,H2
C_as1.0_vfNone_rl2100.0_cw1.0,-0.0034241718609324696,-0.0034241718609324696,combo
C_as1.0_vfNone_rl20.0_cw3.0,-0.003283313044803327,-0.003283313044803327,combo
C_as0.5_vfNone_rl2100.0_cw3.0,-0.003123867314800017,-0.003123867314800017,combo
H1_as1.5_vf0.5,-0.003027574095466381,-0.003027574095466381,H1
C_as1.0_vf0.25_rl2100.0_cw1.0,-0.002849719341209646,-0.002849719341209646,combo
C_as0.5_vf0.25_rl2100.0_cw1.0,-0.0027649866812893974,-0.0027649866812893974,combo
H2_cw10.0_a0.975,-0.002731369304487197,-0.002731369304487197,H2
H4_rl21000.0,-0.0026500504593974525,-0.0026500504593974525,H4
C_as0.5_vfNone_rl2100.0_cw1.0,-0.0021701749825962244,-0.0021701749825962244,combo
H2_cw3.0_a0.975,-0.0015654744998554546,-0.0015654744998554546,H2
H5_greeks_only,-0.0010523189604636123,-0.0010523189604636123,H5
H1_as0.5_vfNone,-0.0008218749798703092,-0.0008218749798703092,H1
C_as0.5_vfNone_rl20.0_cw1.0,-0.0008218749798703092,-0.0008218749798703092,combo
H2_cw10.0_a0.99,0.0005996474213531651,0.0005996474213531651,H2
H2_cw3.0_a0.95,0.005416549469710314,0.005416549469710314,H2
H1_as1.0_vfNone,0.007663944649137375,0.007663944649137375,H1
C_as1.0_vfNone_rl20.0_cw1.0,0.007663944649137375,0.007663944649137375,combo
H2_cw1.0_a0.975,0.007921594088208606,0.007921594088208606,H2
H1_l20.03,0.012354029912104292,0.012354029912104292,H1
H1_l20.1,0.012917937591073047,0.012917937591073047,H1
H1_l20.01,0.015046836900210239,0.015046836900210239,H1
baseline,0.01654945435016337,0.01654945435016337,baseline
H1_as1.5_vfNone,0.01654945435016337,0.01654945435016337,H1
H2_cw3.0_a0.99,0.028165942558556818,0.028165942558556818,H2
H2_cw1.0_a0.99,0.04984556993955369,0.04984556993955369,H2
H7_stress1.0,0.07287253812930188,0.07287253812930188,H7
H3_K12,0.09088537590017784,0.09088537590017784,H3
H5_surface_only,0.09401643259101398,0.09401643259101398,H5
H7_stress2.0,0.10851311494345744,0.10851311494345744,H7
H3_K6,0.19572823904908795,0.19572823904908795,H3
H3_K16,0.2115593750989639,0.2115593750989639,H3
H7_stress3.0,0.4622353582798826,0.4622353582798826,H7
