comparison,universe,dcvar95,ci_low,ci_high,p_bootstrap,p_wilcoxon
prototype - delta,spy,-2.3249480581320547,-3.252217372146986,-1.2856127754748556,0.0,2.0321853861022076e-06
prototype - delta,qqq,0.0354907513186955,-1.306697745442712,1.0943436281549888,0.971,0.31235408773007445
prototype - delta,COMBINED,-1.1447286534066796,,,5.266961554809691e-07,
prototype - delta_vega,spy,-0.46231172604559,-0.9270969217085125,0.07641132008948116,0.086,0.0002439043074731145
prototype - delta_vega,qqq,2.9405036966760782,1.1719508891687065,3.9600387631258984,0.0,0.8398706364531798
prototype - delta_vega,COMBINED,1.2390959853152441,,,0.00012918455882844753,
prototype - blackbox,spy,-10.81036176559044,-12.493572291051809,-8.756796442506774,0.0,3.954417727315189e-06
prototype - blackbox,qqq,4.427703019916627,0.7151975423276109,7.016974244383073,0.007,0.007337356009797694
prototype - blackbox,COMBINED,-3.1913293728369063,,,0.0017181142091638514,
prototype - ppo,spy,-33.356660228161545,-39.63926045665068,-27.63972009773661,0.0,0.0012761005254248808
prototype - ppo,qqq,-69.34452604330366,-78.8438422273496,-59.438469686820284,0.0,0.5504299894171969
prototype - ppo,COMBINED,-51.3505931357326,,,6.498451238034287e-24,
prototype - sac,spy,-87.3505388295502,-101.59470461170802,-73.45989198683466,0.0,0.007259265049661404
prototype - sac,qqq,-48.085543398394385,-56.260025107283596,-39.46564526995949,0.0,0.021160803451389078
prototype - sac,COMBINED,-67.71804111397229,,,6.498451238034287e-24,
