test_year,cap_mode,cvar95,mean_pnl
2014,level,1.477,1.1029
2015,level,1.0346,1.5634
2016,level,0.3068,0.8069
2017,level,0.3621,0.9473
2018,level,4.3218,1.0523
2019,level,0.6897,0.5999
2020,level,4.4081,0.5275
2021,level,0.2789,1.3708
2022,level,2.7526,0.2192
2023,level,0.9617,0.8779
2014,accel,1.5112,1.0731
2015,accel,0.914,1.7137
2016,accel,0.2272,1.192
2017,accel,0.461,0.7401
2018,accel,1.9121,0.3066
2019,accel,1.6361,1.066
2020,accel,4.4648,0.5075
2021,accel,0.2405,1.4332
2022,accel,2.8987,0.2493
2023,accel,0.7719,0.8252
